Scotland's Census 2011 - National Records of Scotland
Table QS415SC - Central heating
All occupied household spaces

,"All occupied household spaces","No central heating","Gas central heating","Electric (including storage heaters) central heating","Oil central heating","Solid fuel (for example wood, coal) central heating","Other central heating","Two or more types of central heating"
"Scotland",2372777,54965,1761431,317831,135223,26209,16608,60510
"S01006506",424,6,323,66,16,3,2,8
"S01006507",364,1,298,56,2,1,-,6
"S01006508",340,5,265,66,-,-,-,4
"S01006509",274,5,210,47,-,3,1,8
"S01006510",256,3,230,11,6,-,-,6
"S01006511",315,3,295,8,3,-,-,6
"S01006512",170,4,62,10,81,3,4,6
"S01006513",230,2,216,8,1,-,-,3
"S01006514",339,2,322,8,5,-,-,2
"S01006515",271,1,232,8,28,-,2,-
"S01006516",185,1,151,3,24,-,1,5
"S01006517",403,6,297,21,59,1,7,12
"S01006518",247,-,232,6,6,-,-,3
"S01006519",281,-,268,6,4,-,-,3
"S01006520",222,-,218,2,1,-,-,1
"S01006521",243,-,226,7,6,1,-,3
"S01006522",218,1,190,12,12,-,-,3
"S01006523",427,6,346,63,9,-,-,3
"S01006524",314,4,242,51,11,-,2,4
"S01006525",339,2,311,10,8,-,-,8
"S01006526",439,2,402,17,4,-,2,12
"S01006527",286,-,259,16,3,1,1,6
"S01006528",433,4,388,29,-,1,-,11
"S01006529",496,17,253,218,1,-,3,4
"S01006530",356,10,300,36,-,-,1,9
"S01006531",429,6,393,18,-,-,-,12
"S01006532",337,6,307,18,-,-,-,6
"S01006533",305,1,290,8,1,-,1,4
"S01006534",398,9,349,31,2,-,1,6
"S01006535",564,16,482,56,-,-,1,9
"S01006536",589,32,466,79,-,-,1,11
"S01006537",341,2,322,15,1,-,-,1
"S01006538",240,2,225,9,3,-,-,1
"S01006539",330,4,305,11,2,-,1,7
"S01006540",451,9,413,24,-,-,1,4
"S01006541",392,1,354,25,2,-,2,8
"S01006542",496,6,415,62,4,1,1,7
"S01006543",363,-,340,18,1,-,2,2
"S01006544",507,3,461,20,8,-,1,14
"S01006545",586,13,486,74,1,1,-,11
"S01006546",262,2,252,7,-,-,-,1
"S01006547",442,10,339,34,37,1,13,8
"S01006548",312,5,292,9,1,-,1,4
"S01006549",366,1,349,8,3,-,1,4
"S01006550",389,1,377,5,3,-,1,2
"S01006551",392,11,267,68,2,2,36,6
"S01006552",417,4,388,15,3,-,-,7
"S01006553",407,3,382,17,2,-,-,3
"S01006554",330,3,296,19,2,-,-,10
"S01006555",374,8,308,47,1,-,-,10
"S01006556",399,4,350,31,-,1,2,11
"S01006557",338,2,305,22,-,-,-,9
"S01006558",354,16,262,66,-,-,-,10
"S01006559",272,1,238,25,1,-,1,6
"S01006560",432,5,351,70,2,-,-,4
"S01006561",323,1,308,10,-,-,-,4
"S01006562",334,4,287,31,1,-,1,10
"S01006563",366,7,313,37,1,-,-,8
"S01006564",578,25,414,119,-,-,2,18
"S01006565",565,38,368,139,1,-,1,18
"S01006566",437,16,368,42,-,-,-,11
"S01006567",552,37,410,89,1,-,-,15
"S01006568",575,36,436,88,4,-,-,11
"S01006569",311,16,246,44,-,-,-,5
"S01006570",371,7,331,18,3,-,-,12
"S01006571",427,18,371,25,1,-,-,12
"S01006572",374,3,358,6,3,-,-,4
"S01006573",290,3,270,13,1,-,-,3
"S01006574",427,4,362,52,2,-,-,7
"S01006575",399,7,364,18,1,-,-,9
"S01006576",325,5,283,26,2,-,-,9
"S01006577",430,21,368,32,1,1,1,6
"S01006578",633,34,499,84,1,-,-,15
"S01006579",640,26,469,130,2,-,-,13
"S01006580",422,30,343,32,-,-,1,16
"S01006581",402,8,343,44,1,-,-,6
"S01006582",466,21,332,107,1,-,1,4
"S01006583",404,13,236,148,-,-,-,7
"S01006584",354,21,235,91,-,-,1,6
"S01006585",465,27,195,231,1,-,1,10
"S01006586",650,52,358,204,-,1,15,20
"S01006587",318,35,195,79,-,-,1,8
"S01006588",338,37,48,249,-,-,-,4
"S01006589",367,27,102,234,-,-,1,3
"S01006590",379,33,240,93,-,1,2,10
"S01006591",367,6,322,33,-,-,-,6
"S01006592",374,13,317,36,1,-,1,6
"S01006593",411,15,356,30,-,-,-,10
"S01006594",345,10,194,126,-,-,1,14
"S01006595",555,24,461,50,2,-,-,18
"S01006596",359,10,299,43,-,-,1,6
"S01006597",352,37,244,54,-,-,-,17
"S01006598",435,4,391,29,2,-,1,8
"S01006599",499,15,434,32,-,1,1,16
"S01006600",587,19,430,120,1,-,2,15
"S01006601",572,17,478,66,-,1,-,10
"S01006602",414,2,316,89,1,-,1,5
"S01006603",385,3,355,19,-,-,-,8
"S01006604",291,3,272,11,-,-,1,4
"S01006605",409,4,339,54,-,1,2,9
"S01006606",390,3,339,38,2,-,1,7
"S01006607",385,1,366,9,-,-,-,9
"S01006608",284,2,229,13,27,2,6,5
"S01006609",490,-,412,64,-,-,2,12
"S01006610",212,3,187,19,-,-,-,3
"S01006611",425,4,391,18,1,2,-,9
"S01006612",373,4,350,12,-,-,-,7
"S01006613",259,3,200,56,-,-,-,-
"S01006614",265,5,250,7,-,-,2,1
"S01006615",270,-,262,5,1,-,-,2
"S01006616",337,10,272,49,-,-,-,6
"S01006617",297,14,254,17,2,1,4,5
"S01006618",246,4,218,21,-,-,-,3
"S01006619",372,14,287,46,14,1,4,6
"S01006620",390,6,351,27,-,-,-,6
"S01006621",235,9,206,17,-,-,1,2
"S01006622",292,15,201,72,-,-,-,4
"S01006623",359,17,242,88,3,-,1,8
"S01006624",481,49,355,62,-,1,-,14
"S01006625",288,1,264,18,-,1,-,4
"S01006626",377,7,331,25,-,1,1,12
"S01006627",511,30,350,108,2,-,2,19
"S01006628",635,77,392,151,-,-,-,15
"S01006629",315,2,285,20,-,1,1,6
"S01006630",256,4,237,8,1,-,-,6
"S01006631",493,25,387,56,1,-,7,17
"S01006632",423,7,363,44,-,-,-,9
"S01006633",288,2,254,18,-,-,-,14
"S01006634",291,6,200,71,-,-,1,13
"S01006635",289,4,257,16,-,-,4,8
"S01006636",386,4,270,101,1,-,-,10
"S01006637",413,27,301,72,1,-,-,12
"S01006638",504,23,396,64,-,-,5,16
"S01006639",592,44,360,165,2,1,3,17
"S01006640",376,3,334,23,-,-,-,16
"S01006641",602,33,409,145,1,-,-,14
"S01006642",492,29,338,111,1,-,2,11
"S01006643",419,33,291,88,-,-,1,6
"S01006644",553,21,434,76,1,-,-,21
"S01006645",393,17,91,276,-,-,-,9
"S01006646",340,26,108,192,-,-,3,11
"S01006647",341,14,121,201,-,-,3,2
"S01006648",651,55,411,153,2,-,4,26
"S01006649",583,16,455,93,-,-,1,18
"S01006650",481,41,345,76,-,1,2,16
"S01006651",382,22,255,85,-,-,1,19
"S01006652",308,17,223,59,-,-,1,8
"S01006653",296,5,252,32,-,-,-,7
"S01006654",504,6,423,61,-,1,1,12
"S01006655",334,4,301,21,-,-,-,8
"S01006656",524,27,411,72,-,-,3,11
"S01006657",286,19,228,33,-,-,1,5
"S01006658",525,27,347,130,1,-,1,19
"S01006659",287,7,251,19,1,-,1,8
"S01006660",247,19,182,34,2,-,-,10
"S01006661",301,22,237,39,-,-,-,3
"S01006662",285,10,240,20,-,1,-,14
"S01006663",245,11,188,37,-,-,1,8
"S01006664",237,11,160,61,-,-,1,4
"S01006665",316,32,203,68,-,-,1,12
"S01006666",499,28,193,229,-,-,44,5
"S01006667",447,32,211,138,1,3,55,7
"S01006668",413,14,281,114,-,-,-,4
"S01006669",444,14,357,55,2,-,6,10
"S01006670",347,14,304,15,-,-,-,14
"S01006671",233,9,156,62,1,1,1,3
"S01006672",366,12,294,41,2,-,3,14
"S01006673",367,10,273,71,-,-,3,10
"S01006674",544,23,156,345,2,-,12,6
"S01006675",315,6,284,9,-,1,1,14
"S01006676",358,4,289,50,-,-,-,15
"S01006677",398,11,340,29,-,-,-,18
"S01006678",525,6,365,135,-,1,2,16
"S01006679",315,7,270,30,1,1,-,6
"S01006680",416,8,175,225,1,-,-,7
"S01006681",464,17,146,292,-,-,2,7
"S01006682",384,6,296,63,-,-,1,18
"S01006683",370,11,314,28,2,-,1,14
"S01006684",401,13,284,87,-,2,2,13
"S01006685",427,12,368,33,-,-,1,13
"S01006686",305,1,280,15,1,2,-,6
"S01006687",419,6,382,24,-,-,-,7
"S01006688",510,3,362,136,-,1,2,6
"S01006689",288,2,270,11,-,-,-,5
"S01006690",308,4,281,13,-,-,-,10
"S01006691",271,3,250,9,1,-,-,8
"S01006692",361,6,329,18,-,1,-,7
"S01006693",497,18,406,54,1,-,1,17
"S01006694",480,10,323,100,7,-,34,6
"S01006695",346,5,310,22,-,-,-,9
"S01006696",390,6,274,102,1,-,-,7
"S01006697",435,4,247,174,-,-,-,10
"S01006698",409,6,259,123,-,-,5,16
"S01006699",209,3,164,38,-,1,1,2
"S01006700",431,5,347,60,-,1,6,12
"S01006701",321,-,307,10,-,-,-,4
"S01006702",332,2,305,14,2,-,4,5
"S01006703",301,3,273,16,1,-,1,7
"S01006704",301,2,277,11,-,1,-,10
"S01006705",364,6,299,51,-,-,4,4
"S01006706",272,9,239,13,1,-,1,9
"S01006707",311,3,280,16,-,-,-,12
"S01006708",364,5,290,63,-,1,2,3
"S01006709",376,7,332,27,-,-,2,8
"S01006710",415,4,382,21,1,-,2,5
"S01006711",511,5,459,39,1,-,3,4
"S01006712",250,1,234,11,-,-,-,4
"S01006713",420,4,388,16,-,1,-,11
"S01006714",304,2,283,10,1,-,1,7
"S01006715",218,2,202,7,-,1,-,6
"S01006716",242,4,221,9,-,-,-,8
"S01006717",445,5,384,41,-,-,2,13
"S01006718",248,-,237,7,-,1,-,3
"S01006719",350,3,331,11,-,2,-,3
"S01006720",242,4,229,5,-,-,-,4
"S01006721",386,5,345,23,-,1,-,12
"S01006722",312,-,288,21,-,-,-,3
"S01006723",283,5,259,11,-,1,1,6
"S01006724",343,7,313,10,-,-,2,11
"S01006725",265,1,253,5,-,-,-,6
"S01006726",505,3,467,12,1,3,3,16
"S01006727",395,5,326,53,-,-,1,10
"S01006728",334,5,309,14,-,-,-,6
"S01006729",349,1,301,30,-,-,2,15
"S01006730",276,7,219,45,-,-,-,5
"S01006731",257,1,238,13,1,-,-,4
"S01006732",353,9,169,31,111,6,7,20
"S01006733",309,1,303,2,-,-,-,3
"S01006734",352,1,337,8,-,-,2,4
"S01006735",245,1,224,14,-,-,2,4
"S01006736",395,-,374,18,-,1,-,2
"S01006737",265,-,234,5,23,1,1,1
"S01006738",453,11,327,106,2,1,-,6
"S01006739",309,25,252,19,-,4,-,9
"S01006740",335,3,307,15,2,3,1,4
"S01006741",342,4,323,7,-,-,3,5
"S01006742",233,-,225,5,-,-,1,2
"S01006743",271,3,252,8,-,-,1,7
"S01006744",302,8,264,22,1,-,1,6
"S01006745",409,4,351,39,3,1,3,8
"S01006746",350,4,315,23,1,1,-,6
"S01006747",368,3,340,17,5,-,-,3
"S01006748",408,3,380,15,1,1,2,6
"S01006749",419,6,341,65,1,-,1,5
"S01006750",292,5,237,38,6,-,-,6
"S01006751",241,1,210,27,-,1,-,2
"S01006752",339,5,289,39,1,1,1,3
"S01006753",410,3,364,29,7,-,-,7
"S01006754",400,4,363,22,2,1,1,7
"S01006755",289,6,195,22,46,10,6,4
"S01006756",286,-,266,7,-,-,1,12
"S01006757",343,10,259,71,-,-,1,2
"S01006758",318,8,221,85,1,-,1,2
"S01006759",251,1,228,21,-,-,-,1
"S01006760",235,5,152,69,1,-,2,6
"S01006761",334,15,215,91,8,-,1,4
"S01006762",416,6,338,36,22,1,5,8
"S01006763",334,3,229,94,-,1,-,7
"S01006764",345,12,286,39,2,-,-,6
"S01006765",273,23,197,50,-,-,-,3
"S01006766",240,10,192,32,2,-,2,2
"S01006767",283,1,274,4,2,-,1,1
"S01006768",212,-,208,2,1,-,-,1
"S01006769",392,2,371,12,1,-,-,6
"S01006770",273,1,263,8,-,-,-,1
"S01006771",150,-,146,3,1,-,-,-
"S01006772",375,8,346,15,-,1,-,5
"S01006773",255,1,244,4,1,-,2,3
"S01006774",221,1,211,4,1,-,-,4
"S01006775",319,8,242,58,5,-,1,5
"S01006776",271,1,208,57,-,-,1,4
"S01006777",262,1,253,5,-,-,-,3
"S01006778",287,8,261,14,1,-,1,2
"S01006779",293,8,259,15,-,-,-,11
"S01006780",254,6,223,22,3,-,-,-
"S01006781",295,1,276,13,2,-,-,3
"S01006782",341,14,259,67,-,-,-,1
