X,Y,FID,MSOA21CD,GlobalID
532290.3638,181745.935900001,1,E02000001,6c80fa33-5d36-4455-bb70-cdfc7a20cb4f
582475.5406,110963.820499999,2,E02004372,1d1efe8c-6b00-4acc-a6fa-cd5a3a779d7b
524353.1856,135416.2588,3,E02006584,36a08448-07b6-4255-b1de-05d9b56d2fc9
504326.1721,170345.342,4,E02006411,81f1280d-1a6c-434a-ac96-38f9f01351ea
470327.041,172513.707,5,E02003401,34d0fcda-8ca2-4f5f-9ad3-481c3106ceb2
561565.9292,169067.660499999,6,E02005040,5053488b-2069-40dc-afb6-9096a37b7832
516974.458,179729.963099999,7,E02000269,1f833ea4-d825-4cf2-b554-7f6fcbebe04b
500972.1021,157040.494000001,8,E02006466,9ba21b25-c65b-45c3-8687-95c0fae5b3cf
435300.1668,112716.0693,9,E02004783,b09520d7-f2fb-472e-b88d-3b690f9e3940
577676.6149,136203.2675,10,E02005174,ae0c49d7-d122-438c-9f79-814e87337458
532373.3222,166484.2918,11,E02000213,343e0e91-8797-426a-bb0b-b6f8e123d806
560890.71,157178.1306,12,E02005154,979eb775-f795-4578-822d-49f997f2885b
556006.0844,185779.8433,13,E02000487,a02ee84e-7b3b-455b-94c3-c00ebefb4bf5
547667.4459,180941.283,14,E02000065,66e19958-a022-48c2-b32e-6e6fa454b874
538153.225,181605.4769,15,E02000881,40ebd270-3a2d-40a7-8d97-8fe0c268d77a
536116.9185,105566.124600001,16,E02003507,3e6145d2-1a42-4a07-abff-28c253f025c9
522363.9622,177239.147399999,17,E02000784,2e134c36-7305-45dc-847d-c368658ba985
525004.5972,175064.0777,18,E02000932,973b2560-01a9-4e68-ada5-ae1a7400788d
461861.3922,151261.996099999,19,E02004688,965408c4-2502-4640-9343-ea8f8187ee80
412016.9292,295314.8029,20,E02001835,3753dc75-e59a-4fea-94e5-796264fe3fdd
520707.4181,168341.748600001,21,E02000605,7a35d09e-4471-4c31-acec-51ac9b1132f7
233267.3677,84383.5142000001,22,E02003935,785c62d7-941c-48c8-b70b-05db0581ddbe
300890.295,95421.3116999995,23,E02007028,b3c22294-1add-4557-9dd8-5516827e1e1a
367583.1533,83372.5556000005,24,E02004281,9b23264b-7ee8-49a0-b047-158de5214905
518467.6595,129651.284299999,25,E02006595,b07fe3ba-7cb7-4259-a61a-f243022fa66e
525613.9317,167188.4812,26,E02000712,458f95a4-e5d8-4dbf-a388-c82280d5793a
531175.0853,178718.0232,27,E02000619,69cd7ffa-5ef5-4078-ac4d-b88d044015b3
377733.1847,115640.513,28,E02004258,d8b51345-1b58-4004-8dd6-e0e4f093a457
517163.7549,147598.9824,29,E02006372,d5ec4d56-2469-4b4b-bd18-2f469cabfe0e
539972.789,181177.898800001,30,E02000747,5deb24ab-c33c-4707-b63d-20cacced5e77
471378.3749,139234.396400001,31,E02004699,b1b768c0-cad0-463a-a1ad-55fd9621567d
289491.3999,66167.8789000008,32,E02003156,dd6a1d47-b5ca-4b12-bdff-3b2042da84d1
294496.2746,87198.1044999994,33,E02004202,97f782e1-b7ff-45c3-ae7e-ed34ee50d07f
536708.2353,177838.225400001,34,E02000654,c81dd43f-057c-4ea4-addb-a5891f95d1d1
