PS Name,Firm Capacity (MVA),Demand (MVA),PF,"Geo(Long,Lat)",GSP,DNO
albion st,22.863,11.720531855259553,0.998712396601496,"-2.4950937454916797,53.73015403195597",ROCHDALE,ENW
alderley & chelford,28.31,17.003133602939062,0.9756,"-2.225911796847622,53.30796142675533",SOUTH MANCHESTER,ENW
alston,1.7,1.5316051,0.9857522482257456,"-2.4352546655219385,54.81256830516162",HUTTON,ENW
ambleside,17.8,9.192531730165646,0.9931747028778503,"-2.963194161426022,54.42314157846089",HUTTON,ENW
ancoats north t11 & t12,22.863,17.347102286558783,0.992856875189079,"-2.2271891138444646,53.485968874301655",WHITEGATE,ENW
ancoats north t14,13.25,10.067649343529904,0.992856875189079,"-2.2270388941087154,53.486059044544",WHITEGATE,ENW
annie pit,21.5,16.232165007179972,0.9925519380659721,"-3.550617471626272,54.63547012404411",HARKER,ENW
ansdell,16.0,7.787453655588003,0.9912263220324639,"-2.9959530937977266,53.74629022062959",PENWORTHAM ,ENW
ardwick,16.0,16.219682464604002,0.999302094996407,"-2.2311737271895,53.473242557713355",STALYBRIDGE,ENW
arnside,15.0,3.7882299113706397,0.9973687055531419,"-2.82160384364731,54.19657099488447",HUTTON,ENW
ashton (golborne),21.2,14.58296485830187,0.9981027660207181,"-2.648872541920482,53.500898599821234",BOLD,ENW
ashton (ribble),10.5,5.715767664977294,0.997507309236966,"-2.75587472715823,53.76869124353434",PENWORTHAM ,ENW
ashton on mersey,22.86,11.76233538356515,0.9956946079646293,"-2.3447671555936123,53.42656081371278",CARRINGTON,ENW
ashton under lyne t11 & t12,22.863,17.325068113846385,0.9985749530376951,"-2.102826144160406,53.490536176066726",STALYBRIDGE,ENW
ashton under lyne t13,13.25,6.531329013869251,0.9985749530376951,"-2.1026756444318146,53.49062619000926",STALYBRIDGE,ENW
ashwood dale,19.719,13.568384002393328,0.9967593892431489,"-1.9034782096614904,53.254420279232505",STALYBRIDGE,ENW
askam & dalton,20.02,15.92876603117427,0.9083,"-3.203653283768867,54.189997227934484",HARKER,ENW
askerton castle,2.3,1.3389092804906277,0.9922778767136677,"-2.7086677727650046,55.01270318838637",HARKER,ENW
