PS Name,Firm Capacity (MVA),Demand (MVA),PF,"Geo(Long,Lat)",GSP,DNO,RegID,RegName,Household no,NearestZone0,NearestZone1,No central heating,Gas central heating,Electric (including storage heaters) central heating,Oil central heating,"Solid fuel (for example wood, coal) central heating",Other central heating,Two or more types of central heating,District or communal heat networks only,Renewable energy only,Tank or bottled gas only,Two or more types of central heating (including renewable energy),Two or more types of central heating (not including renewable energy),Wood only
albion st,22.863,11.720531855259551,0.998712396601496,"-2.4950937454916797,53.73015403195597",ROCHDALE,ENW,E12000002,North West,6445.710749330618,E02002623,E02002627,135.57336676046745,5331.460526148009,234.7172954541583,13.82667157450708,6.39205220507919,81.27308760944415,,25.844788885292566,8.601602981717933,22.80626495580414,16.321717409399763,627.0558804903341,1.8320962789835802
alderley & chelford,28.31,17.003133602939062,0.9756,"-2.225911796847622,53.30796142675533",SOUTH MANCHESTER,ENW,E12000002,North West,9350.879498491999,E02003864,E02003858,55.549295682811575,7075.8562147804105,849.9785090177019,312.5223429765083,5.786862651433415,49.23252436702539,,22.42293431312309,42.24565005321985,125.07319299091941,43.55150242823686,784.5175292189075,13.06176050748827
alston,1.7,1.5316051,0.9857522482257456,"-2.4352546655219385,54.81256830516162",HUTTON,ENW,E12000002,North West,842.3067808453965,E02005728,E02004008,14.948542118841052,283.3738684694531,39.03901975194431,257.1215795201021,42.046245473946215,3.722035275845376,,2.053191985538936,16.072124282140177,41.8526264103853,12.898245204897327,136.83325470232737,18.95028946956816
ambleside,17.8,9.192531730165646,0.9931747028778504,"-2.963194161426022,54.42314157846089",HUTTON,ENW,E12000002,North West,5055.436162660328,E02004015,E02004016,101.10564303417902,3318.6036531355876,459.52690294494204,305.96536659126036,13.738313807938207,20.97856583429713,,17.358657312549276,37.20560759062297,83.30544096880124,46.04243517646741,629.6289171653225,36.177517618028375
ancoats north t11 & t12,22.863,17.347102286558783,0.992856875189079,"-2.2271891138444646,53.485968874301655",WHITEGATE,ENW,E12000002,North West,9540.045200937986,E02006902,E02006912,454.433214617183,1454.7431344996041,5857.1609098134795,11.107746507033275,0.0,88.33523864848448,,140.8889302010707,20.73046104267589,35.938447034017834,38.301303049340156,307.58105610647976,2.207739686348268
ancoats north t14,13.25,10.067649343529904,0.992856875189079,"-2.2270388941087154,53.486059044544",WHITEGATE,ENW,E12000002,North West,5536.707411870685,E02006902,E02006912,263.73708872194834,844.2818587861645,3399.290625865698,6.446546229007915,0.0,51.26667224871663,,81.76699037213191,12.031232021332032,20.857413342738106,22.228732045917003,178.50924992769643,1.2812946298916574
annie pit,21.5,16.232165007179972,0.992551938065972,"-3.550617471626272,54.63547012404411",HARKER,ENW,E12000002,North West,8926.885039328385,E02003974,E02003973,121.14308113063731,7562.63290021224,266.01953137465273,45.658740541002466,17.589980084478984,70.16517297163374,,11.85350461256201,1.1835168134483265,45.86268250105723,10.637750537214991,881.5131029971442,11.343729065254472
ansdell,16.0,7.787453655588003,0.991226322032464,"-2.9959530937977266,53.74629022062959",PENWORTHAM ,ENW,E12000002,North West,4282.71296538582,E02005210,E02005207,39.1228476948671,3515.0809561130923,405.4442882705832,8.415288793770584,0.5210326359683337,10.911400153256812,,2.1066752972150127,6.380363168993339,11.51148381921428,13.234229795343172,271.3771135346547,3.1361165995154843
ardwick,16.0,16.219682464604002,0.999302094996407,"-2.2311737271895,53.473242557713355",STALYBRIDGE,ENW,E12000002,North West,8920.020260506526,E02006912,E02006914,411.0472396786768,1399.4923225612913,5458.938901281811,9.429395011592005,0.0,79.17989132727476,,140.2838570635898,26.39721375798924,37.173907735268145,32.63961313497057,272.2966342478933,0.0
arnside,15.0,3.78822991137064,0.997368705553142,"-2.82160384364731,54.19657099488447",HUTTON,ENW,E12000002,North West,2083.338415201703,E02004025,E02005221,26.281095139163718,1624.8222862313335,84.76592361142383,78.4295577508328,6.104643412125471,6.053157061838486,,2.4308737144926007,9.409731703048134,30.919620399433256,15.662419447501437,218.72804279070232,8.629295427661685
