Scenario (Short Name),Licence Area,Substation Name,Supply Voltage (kV),Voltage (kV),BSP Group,GSP,Substation Location,2022 Thermal Demand Headroom (MW),2023 Thermal Demand Headroom (MW),2024 Thermal Demand Headroom (MW),2025 Thermal Demand Headroom (MW),2026 Thermal Demand Headroom (MW),2027 Thermal Demand Headroom (MW),2028 Thermal Demand Headroom (MW),2029 Thermal Demand Headroom (MW),2030 Thermal Demand Headroom (MW),2031 Thermal Demand Headroom (MW),2035 Thermal Demand Headroom (MW),2040 Thermal Demand Headroom (MW),2045 Thermal Demand Headroom (MW),2050 Thermal Demand Headroom (MW),Bulk Supply Point or Primary,Scenario Full name,Output parameter,X,Y,location
Best View Plan (PS),NPgY,ATTERCLIFFE,132.0,33.0,Attercliffe,WEST MELTON / THORPE MARSH,S9 3FA,26.852408476074388,27.182359245058315,27.422998422338047,27.522597318228698,27.338033752480953,27.101372024281105,26.513682874195794,25.65259926187199,23.957846521670838,22.74063954593167,16.90679865360317,9.615342217586232,4.601712493874146,2.0015541972745297,BSP,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),438185.0,388383.0,"53.39091023752598, -1.427291193953192"
Best View Plan (PS),NPgY,BEESTON ROYDS 132/33KV,132.0,33.0,Beeston Royds 132/33kV,KIRKSTALL B,LS12 6NJ,137.28328169983956,137.99731881723335,138.47146612180148,138.6413965255743,138.0154922237902,137.25508296554983,135.79916883713787,133.78041011792033,130.13360849874414,127.3347694704369,114.75165618529736,99.11220206622664,89.16184526936712,84.45868592926232,BSP,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),427516.0,431141.0,"53.77588236540597, -1.5839569249577814"
Best View Plan (PS),NPgY,BRAMHAM,132.0,33.0,Bramham,FERRYBRIDGE B,LS24 9NT,53.56225192960713,47.77250408844752,47.15083944409284,46.154928650942495,44.767514395303394,42.13228816316895,39.09035145547992,35.785806350384505,26.18253628453357,22.53617471943278,-12.7359128188331,-29.554902474706097,-38.65718777185839,-42.741196437997274,BSP,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),444341.0,441925.0,"53.87164437394825, -1.327122197539041"
Best View Plan (PS),NPgY,GIRLINGTON,132.0,33.0,Girlington,BRADFORD WEST,BD7 2NB,69.66043992180101,69.80580857606128,69.71753407908862,69.38563258247896,68.6541313484999,67.86516343298295,66.77626510690367,65.4208492415404,62.065009671409854,60.03756748806717,50.852304740967114,39.637761002958385,32.84756212876272,29.597791879997843,BSP,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),413929.0,433281.0,"53.79565415577396, -1.7900257058695612"
Best View Plan (PS),NPgY,HOLMFIELD,132.0,33.0,Holmfield,BRADFORD WEST,HX2 9AY,62.12096068248134,62.010834920473755,61.5303888501456,60.60147199366339,58.90252385214779,57.08928614450724,54.63924203862203,51.7619257164051,45.3533768721657,41.33387263158258,22.51651073369142,0.8512827848201283,-12.247279084871366,-18.032958106640763,BSP,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),408320.0,428262.0,"53.75066219346606, -1.8753088029762424"
Best View Plan (PS),NPgY,HULL EAST 132/33KV,132.0,33.0,Hull East 132/33kV,SALTEND NORTH,HU9 5NL,60.38132906937299,60.23803009810898,59.81765387003698,59.094255724845176,58.059848770491925,56.37886208927698,54.179062806292144,51.64915274817689,48.47433828842547,45.41051530209289,31.5730278696133,15.73313786375995,6.1095661421579734,1.3932076820575219,BSP,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),515174.0,429445.0,"53.74865941848388, -0.2549011471194001"
Best View Plan (PS),NPgY,HULL WEST,132.0,33.0,Hull West,CREYKE BECK,HU13 0FA,64.39103352573886,64.14989242009744,63.62658008134439,62.842042589879455,61.642680020704574,60.02823496050184,57.854899894886664,55.28602754018823,52.077114461356516,49.068658186579924,35.31016538696305,19.923041399904548,10.594310282577865,5.952498969064962,BSP,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),501511.0,426270.0,"53.72296916908219, -0.4630497576493414"
Best View Plan (PS),NPgY,HUNSHELF,132.0,66.0,Hunshelf,WEST MELTON SECTION 3,S36 8WR,96.84697322411166,96.61511194159365,96.22960116752274,95.68374031452919,95.10404652230726,93.87046600389297,92.43781004641218,90.95133636155938,89.71049679117688,88.00224109566778,80.50191745692595,72.31611323775134,67.74554857666963,65.67006748052906,BSP,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),426274.0,400012.0,"53.4961592437481, -1.6054200085994186"
Best View Plan (PS),NPgY,KIRKHAW LANE,132.0,33.0,Kirkhaw Lane,FERRYBRIDGE B,WF11 8SB,65.17696187943837,65.43234236445056,65.58612688734249,65.54438722985726,65.26422456765687,64.6524584170776,63.73191119819212,62.54543794124151,61.04532912329141,59.55455629748548,52.90908645745034,44.37774899453666,38.29489640903097,34.5911726530404,BSP,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),447808.0,425060.0,"53.719767530877064, -1.2770092278419813"
Best View Plan (PS),NPgY,KIRKSTALL C/RING ROAD HORSFORTH,132.0,33.0,Kirkstall C/Ring Road Horsforth,KIRKSTALL B,LS18 4EL,80.66518279108462,79.47956219073603,77.703401761164,75.32261855121078,72.14012209349244,69.00607991151023,65.20371326614165,60.86522026990101,52.370298031967494,46.76780972433578,20.618783033564412,-7.29739003113113,-22.319402667950214,-28.135119034601274,BSP,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),425410.0,437843.0,"53.836224753967265, -1.615361633489684"
